,1,2,3,4,5,6,7,8,9,10
20120229,-0.415597621,-0.007940923,0.029293092,0.06496599,0.060729965,0.046678882,0.006947617,0.132200145,0.036736035,0.045986817
20120301,-0.415884702,-0.008009418,0.029774372,0.06677674,0.061706894,0.045306483,0.005551716,0.131411348,0.035819193,0.047547374
20120302,-0.413552995,-0.007358541,0.033093993,0.067035312,0.058749428,0.044729922,0.00479897,0.130314429,0.035044593,0.047144889
20120305,-0.413692898,-0.008919517,0.032206293,0.067548394,0.058424724,0.043118415,0.004468308,0.130487629,0.03596064,0.050398013
20120306,-0.419112495,-0.011089772,0.033688159,0.069814046,0.058314515,0.045742735,0.006364657,0.130362434,0.034574121,0.0513416
20120307,-0.420636204,-0.012003148,0.032774682,0.071424072,0.059707677,0.046619035,0.008173883,0.129897396,0.032435521,0.051607087
20120308,-0.421952919,-0.012362588,0.033395526,0.070722416,0.059443623,0.04610459,0.007960341,0.130520575,0.032586836,0.053581601
20120309,-0.42260151,-0.014886639,0.032483282,0.071750581,0.059866106,0.047719734,0.009766639,0.130775254,0.033554618,0.051571935
20120312,-0.422906042,-0.015841435,0.031933605,0.071529088,0.059950443,0.046308919,0.009991826,0.129983164,0.034834074,0.054216358
20120313,-0.423376534,-0.016634113,0.032832823,0.069757525,0.058919068,0.046586605,0.009665011,0.129332231,0.036053311,0.056864072
20120314,-0.420872966,-0.014849042,0.033294296,0.068891606,0.057786198,0.046192306,0.007306808,0.129051351,0.036115167,0.057084275
20120315,-0.425507589,-0.015033675,0.033874434,0.067733691,0.059124853,0.047129046,0.006758828,0.129669135,0.037542017,0.05870926
20120316,-0.429707044,-0.015474313,0.034453853,0.067344526,0.057823548,0.047824533,0.007376677,0.130453734,0.041043446,0.058861039
20120319,-0.436565018,-0.017147124,0.036574709,0.070608271,0.057616749,0.047729858,0.006249521,0.132096762,0.041495182,0.061341089
20120320,-0.438942769,-0.016920409,0.037134184,0.071749439,0.058907912,0.048546701,0.004263509,0.132577015,0.039669209,0.063015209
20120321,-0.441024038,-0.019619836,0.038135412,0.070547152,0.05948955,0.048455205,0.006463711,0.132737422,0.04042529,0.064390132
20120322,-0.44175811,-0.021879775,0.036131496,0.071686551,0.059303159,0.048958595,0.007427192,0.13570214,0.040520319,0.063908434
